Open,Close,High,Low,Volume,Date
1803.388,1803.388,1803.388,1803.388,,01/27/17
1803.745,1803.745,1803.745,1803.745,,01/26/17
1805.807,1805.807,1805.807,1805.807,,01/25/17
1790.57,1790.57,1790.57,1790.57,,01/24/17
1781.43,1781.43,1781.43,1781.43,,01/23/17
1782.715,1782.715,1782.715,1782.715,,01/20/17
1776.018,1776.018,1776.018,1776.018,,01/19/17
1785.692,1785.692,1785.692,1785.692,,01/18/17
1782.856,1782.856,1782.856,1782.856,,01/17/17
1783.762,1783.762,1783.762,1783.762,,01/16/17
1788.233,1788.233,1788.233,1788.233,,01/13/17
1783.44,1783.44,1783.44,1783.44,,01/12/17
1778.165,1778.165,1778.165,1778.165,,01/11/17
1779.624,1779.624,1779.624,1779.624,,01/10/17
1776.941,1776.941,1776.941,1776.941,,01/09/17
1783.096,1783.096,1783.096,1783.096,,01/06/17
1782.457,1782.457,1782.457,1782.457,,01/05/17
1773.962,1773.962,1773.962,1773.962,,01/04/17
1757.986,1757.986,1757.986,1757.986,,01/03/17
1753.092,1753.092,1753.092,1753.092,,01/02/17
1751.219,1751.219,1751.219,1751.219,,12/30/16
1752.96,1752.96,1752.96,1752.96,,12/29/16
1750.475,1750.475,1750.475,1750.475,,12/28/16
1760.564,1760.564,1760.564,1760.564,,12/27/16
1758.484,1758.484,1758.484,1758.484,,12/26/16
1759.15,1759.15,1759.15,1759.15,,12/23/16
1757.833,1757.833,1757.833,1757.833,,12/22/16
1760.091,1760.091,1760.091,1760.091,,12/21/16
1761.427,1761.427,1761.427,1761.427,,12/20/16
1758.816,1758.816,1758.816,1758.816,,12/19/16
1754.741,1754.741,1754.741,1754.741,,12/16/16
1754.513,1754.513,1754.513,1754.513,,12/15/16
1763.719,1763.719,1763.719,1763.719,,12/14/16
1774.008,1774.008,1774.008,1774.008,,12/13/16
1760.245,1760.245,1760.245,1760.245,,12/12/16
1760.115,1760.115,1760.115,1760.115,,12/09/16
1752.94,1752.94,1752.94,1752.94,,12/08/16
1749.309,1749.309,1749.309,1749.309,,12/07/16
