"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2020","434.45","450.92","450.92","426.17","","-3.64%"
"02/21/2020","450.86","451.62","454.75","443.94","","-0.93%"
"02/20/2020","455.07","454.05","461.57","451.44","","0.73%"
"02/19/2020","451.75","442.63","453.53","440.61","","2.30%"
"02/18/2020","441.60","440.93","442.19","432.14","","-0.04%"
"02/14/2020","441.78","436.04","443.55","435.28","","1.28%"
"02/13/2020","436.19","436.47","440.02","429.19","","0.49%"
"02/12/2020","434.05","425.21","438.47","424.83","","2.47%"
"02/11/2020","423.58","421.50","429.73","421.50","","0.77%"
"02/10/2020","420.36","422.89","427.97","419.31","","-1.49%"
"02/07/2020","426.70","436.19","436.19","424.83","","-1.23%"
"02/06/2020","432.02","430.32","442.28","426.08","","0.40%"
"02/05/2020","430.31","420.64","439.80","420.64","","2.30%"
"02/04/2020","420.62","423.25","437.07","420.37","","-0.99%"
"02/03/2020","424.84","432.64","440.61","423.40","","-2.80%"
"01/31/2020","437.08","442.00","452.17","432.25","","-1.11%"
"01/30/2020","441.98","450.37","450.88","438.08","","-2.23%"
"01/29/2020","452.05","455.86","460.69","447.81","","-0.28%"
"01/28/2020","453.30","448.81","456.94","446.52","","0.64%"
"01/27/2020","450.40","445.90","453.53","442.26","","-1.92%"
"01/24/2020","459.24","471.69","474.15","456.61","","-2.51%"
"01/23/2020","471.08","475.66","476.00","464.22","","-2.02%"
"01/22/2020","480.81","494.02","494.70","479.19","","-2.80%"
"01/21/2020","494.68","496.38","498.66","489.00","","-0.32%"
"01/17/2020","496.29","495.87","499.76","494.00","","0.09%"
"01/16/2020","495.85","490.00","498.73","487.97","","1.20%"
"01/15/2020","489.98","492.35","494.72","486.51","","-0.72%"
"01/14/2020","493.52","492.36","497.51","489.31","","0.30%"
"01/13/2020","492.02","499.90","501.80","490.83","","-1.56%"
"01/10/2020","499.84","504.00","505.90","498.28","","-0.82%"
"01/09/2020","503.98","504.35","510.16","496.46","","-0.07%"
"01/08/2020","504.33","549.00","555.35","500.61","","-4.92%"
"01/07/2020","530.45","532.65","534.09","525.80","","-0.90%"
"01/06/2020","535.25","539.90","547.43","531.70","","0.36%"
"01/03/2020","533.32","517.50","541.95","517.08","","3.06%"
"01/02/2020","517.48","516.47","519.77","513.25","","-0.20%"
"01/01/2020","518.50","518.50","518.50","518.50","","0.40%"
"12/31/2019","516.42","521.67","523.27","512.87","","-1.00%"
"12/30/2019","521.65","521.98","527.23","516.74","","-0.05%"
"12/27/2019","521.92","521.66","523.95","517.86","","0.07%"
"12/26/2019","521.56","516.74","522.74","516.48","","0.94%"
"12/24/2019","516.69","512.29","517.03","511.37","","0.98%"
"12/23/2019","511.68","511.00","513.71","508.21","","0.14%"
"12/20/2019","510.94","516.26","517.28","507.56","","-1.20%"
"12/19/2019","517.17","514.04","519.03","513.12","","0.55%"
"12/18/2019","514.36","511.57","516.47","509.20","","-0.03%"
"12/17/2019","514.51","507.49","515.27","506.90","","1.22%"
"12/16/2019","508.32","504.43","509.58","504.34","","0.28%"
"12/13/2019","506.90","502.50","509.94","500.22","","1.56%"
"12/12/2019","499.10","495.62","503.65","495.62","","0.71%"
"12/11/2019","495.60","499.71","499.71","490.25","","-0.82%"
"12/10/2019","499.69","497.83","501.90","494.01","","0.38%"
