Exchange Date,Close,Net,%Chg,Open,Low,High,
25-Nov-2022,"2,600.93",+1.00,+0.04%,"2,602.49","2,595.08","2,604.83",
24-Nov-2022,"2,599.93",+5.05,+0.19%,"2,592.87","2,592.86","2,600.81",
23-Nov-2022,"2,594.89",-2.15,-0.08%,"2,575.83","2,574.63","2,599.30",
22-Nov-2022,"2,597.04",+18.73,+0.73%,"2,563.78","2,563.78","2,598.86",
21-Nov-2022,"2,578.31",+2.85,+0.11%,"2,595.02","2,570.24","2,595.14",
18-Nov-2022,"2,575.46",+24.95,+0.98%,"2,562.25","2,559.90","2,582.34",
17-Nov-2022,"2,550.52",-6.82,-0.27%,"2,564.49","2,531.33","2,568.15",
16-Nov-2022,"2,557.34",-30.83,-1.19%,"2,577.33","2,554.51","2,579.29",
15-Nov-2022,"2,588.16",+17.77,+0.69%,"2,564.76","2,563.91","2,606.47",
14-Nov-2022,"2,570.39",-12.77,-0.49%,"2,589.65","2,570.39","2,596.56",
11-Nov-2022,"2,583.16",+0.34,+0.01%,"2,549.82","2,549.82","2,589.95",
10-Nov-2022,"2,582.82",+75.81,+3.02%,"2,456.85","2,451.01","2,586.45",
09-Nov-2022,"2,507.01",-29.59,-1.17%,"2,551.52","2,503.36","2,552.88",
08-Nov-2022,"2,536.60",+7.79,+0.31%,"2,517.55","2,514.99","2,552.96",
07-Nov-2022,"2,528.82",+11.52,+0.46%,"2,504.03","2,503.20","2,533.82",
04-Nov-2022,"2,517.30",-13.62,-0.54%,"2,476.29","2,474.85","2,535.89",
03-Nov-2022,"2,530.92",-15.46,-0.61%,"2,558.96","2,515.85","2,559.86",
02-Nov-2022,"2,546.38",-32.52,-1.26%,"2,594.25","2,542.24","2,618.50",
01-Nov-2022,"2,578.89",+1.01,+0.04%,"2,580.02","2,572.38","2,613.79",
31-Oct-2022,"2,577.89",+7.34,+0.29%,"2,592.99","2,573.15","2,595.02",
28-Oct-2022,"2,570.54",+37.34,+1.47%,"2,530.17","2,521.84","2,573.07",
27-Oct-2022,"2,533.20",+16.91,+0.67%,"2,547.57","2,529.59","2,561.97",
26-Oct-2022,"2,516.30",-30.40,-1.19%,"2,517.80","2,505.65","2,544.28",
25-Oct-2022,"2,546.70",+21.83,+0.86%,"2,503.54","2,502.22","2,548.89",
24-Oct-2022,"2,524.87",+27.49,+1.10%,"2,499.38","2,493.94","2,531.01",
21-Oct-2022,"2,497.39",+14.25,+0.57%,"2,458.36","2,440.29","2,506.94",
20-Oct-2022,"2,483.14",-13.34,-0.53%,"2,490.71","2,473.18","2,517.74",
19-Oct-2022,"2,496.48",+1.70,+0.07%,"2,516.32","2,480.80","2,517.66",
18-Oct-2022,"2,494.78",+22.88,+0.93%,"2,468.46","2,468.42","2,519.93",
17-Oct-2022,"2,471.89",+26.54,+1.09%,"2,413.02","2,411.51","2,478.15",
14-Oct-2022,"2,445.35",-22.36,-0.91%,"2,486.04","2,441.76","2,518.47",
13-Oct-2022,"2,467.71",+27.81,+1.14%,"2,422.97","2,368.75","2,480.25",
12-Oct-2022,"2,439.90",-9.12,-0.37%,"2,448.01","2,436.19","2,454.08",
11-Oct-2022,"2,449.03",-20.68,-0.84%,"2,469.59","2,434.92","2,479.25",
10-Oct-2022,"2,469.71",-12.30,-0.50%,"2,489.03","2,457.13","2,492.53",
07-Oct-2022,"2,482.01",-50.10,-1.98%,"2,542.03","2,469.50","2,542.25",
06-Oct-2022,"2,532.10",+2.17,+0.09%,"2,557.32","2,527.04","2,562.26",
05-Oct-2022,"2,529.93",+13.94,+0.55%,"2,544.27","2,498.28","2,547.45",
04-Oct-2022,"2,515.99",+42.54,+1.72%,"2,435.07","2,435.07","2,518.95",
03-Oct-2022,"2,473.45",+46.02,+1.90%,"2,420.79","2,415.37","2,483.32",
30-Sep-2022,"2,427.44",-19.39,-0.79%,"2,454.01","2,426.15","2,470.88",
29-Sep-2022,"2,446.83",-58.61,-2.34%,"2,489.68","2,431.70","2,490.15",
28-Sep-2022,"2,505.43",-0.71,-0.03%,"2,467.60","2,454.24","2,519.20",
27-Sep-2022,"2,506.14",-1.09,-0.04%,"2,507.83","2,491.84","2,545.92",
26-Sep-2022,"2,507.23",-9.27,-0.37%,"2,536.36","2,498.93","2,543.38",
23-Sep-2022,"2,516.51",-14.35,-0.57%,"2,570.11","2,492.09","2,570.37",
22-Sep-2022,"2,530.86",-27.43,-1.07%,"2,554.04","2,526.80","2,561.17",
21-Sep-2022,"2,558.29",-3.42,-0.13%,"2,594.10","2,556.05","2,617.29",
20-Sep-2022,"2,561.71",-13.17,-0.51%,"2,590.98","2,547.00","2,595.67",
19-Sep-2022,"2,574.87",+9.44,+0.37%,"2,564.04","2,540.95","2,576.29",
16-Sep-2022,"2,565.44",-26.82,-1.03%,"2,585.91","2,546.53","2,587.26",
15-Sep-2022,"2,592.26",-31.63,-1.21%,"2,616.75","2,585.21","2,623.52",
14-Sep-2022,"2,623.89",-3.50,-0.13%,"2,622.00","2,605.45","2,631.58",
13-Sep-2022,"2,627.38",-59.65,-2.22%,"2,726.80","2,619.16","2,733.75",
